benchmark_id,conflict_detection_distance,conflict_detection_included,conflict_detection_match,dao,depth_analysis_distance,depth_analysis_included,depth_analysis_match,function_semantic_match_distance,function_semantic_match_included,function_semantic_match_match,human_conflict_detection,human_depth_analysis,human_function_semantic_match,human_overall_risk,overall_distance,overall_included,overall_match,tool_conflict_detection,tool_depth_analysis,tool_function_semantic_match,tool_overall_risk
real-aave-0001,0,True,True,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-aave-0002,2,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,LOW,CRITICAL,CRITICAL
real-aave-0003,0,True,True,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-aave-0004,2,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,LOW,CRITICAL,CRITICAL
real-aave-0005,3,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-aave-0006,3,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-aave-0007,2,True,False,Aave,1,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,MEDIUM,CRITICAL,CRITICAL
real-aave-0008,2,True,False,Aave,1,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,MEDIUM,CRITICAL,CRITICAL
real-aave-0009,3,True,False,Aave,1,True,False,2,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,MEDIUM,HIGH,CRITICAL
real-aave-0010,3,True,False,Aave,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-aave-0011,3,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,LOW,CRITICAL,CRITICAL
real-aave-0012,2,True,False,Aave,0,True,True,3,True,False,LOW,LOW,LOW,LOW,3,True,False,HIGH,LOW,CRITICAL,CRITICAL
real-aave-0013,1,True,False,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-aave-0014,1,True,False,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-aave-0015,3,True,False,Aave,1,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,MEDIUM,CRITICAL,CRITICAL
real-aave-0016,0,True,True,Aave,1,True,False,2,True,False,LOW,LOW,LOW,LOW,2,True,False,LOW,MEDIUM,HIGH,HIGH
real-aave-0017,1,True,False,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-aave-0018,1,True,False,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-aave-0019,1,True,False,Aave,0,True,True,0,True,True,LOW,LOW,LOW,LOW,1,True,False,MEDIUM,LOW,LOW,MEDIUM
real-aave-0020,3,True,False,Aave,2,True,False,3,True,False,LOW,LOW,LOW,LOW,3,True,False,CRITICAL,HIGH,CRITICAL,CRITICAL
real-arbitrum-0001,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0002,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0003,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0004,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0005,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0006,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0007,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0008,2,True,False,Arbitrum,0,True,True,1,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,MEDIUM,HIGH
real-arbitrum-0009,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0010,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0011,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0012,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0013,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0014,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0015,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0016,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0017,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0018,0,True,True,Arbitrum,0,True,True,0,True,True,LOW,LOW,LOW,LOW,0,True,True,LOW,LOW,LOW,LOW
real-arbitrum-0019,2,True,False,Arbitrum,0,True,True,2,True,False,LOW,LOW,LOW,LOW,2,True,False,HIGH,LOW,HIGH,HIGH
