benchmark_id,call_count,chain_id,conflict_detection_score,conflict_detection_severity,dao,decoded_exists,delegatecall_count,depth_analysis_score,depth_analysis_severity,error,function_semantic_match_score,function_semantic_match_severity,index,llm_status,max_depth,overall_score,proposal_id,report_exists,risk_action_count,risk_actions_exists,risk_level,sample_exists,score_exists,semantics_exists,simulation_status,trace_exists,trace_source
real-aave-0001,10,1,8,LOW,Aave,True,4,8,LOW,,9,LOW,1,success,4,8,15,True,5,True,LOW,True,True,True,success,True,simulated_trace
real-aave-0002,2,1,4,HIGH,Aave,True,0,10,LOW,,2,CRITICAL,2,success,1,2,7,True,1,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0003,24,1,8,LOW,Aave,True,8,8,LOW,,9,LOW,3,success,2,8,42,True,1,True,LOW,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0004,3,1,4,HIGH,Aave,True,0,10,LOW,,2,CRITICAL,4,success,2,2,100,True,1,True,CRITICAL,True,True,True,success,True,simulated_trace
real-aave-0005,8,1,2,CRITICAL,Aave,True,1,10,LOW,,2,CRITICAL,5,success,3,2,35,True,2,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0006,5,1,2,CRITICAL,Aave,True,1,10,LOW,,2,CRITICAL,6,success,3,2,32,True,2,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0007,8,1,4,HIGH,Aave,True,1,6,MEDIUM,,2,CRITICAL,7,success,3,2,152,True,2,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0008,11,1,4,HIGH,Aave,True,1,7,MEDIUM,,2,CRITICAL,8,success,4,2,149,True,2,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0009,23,1,2,CRITICAL,Aave,True,3,6,MEDIUM,,3,HIGH,9,success,3,2,234,True,7,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0010,13,1,2,CRITICAL,Aave,True,4,5,HIGH,,2,CRITICAL,10,success,6,2,238,True,7,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0011,8,1,2,CRITICAL,Aave,True,1,10,LOW,,2,CRITICAL,11,success,3,2,164,True,2,True,CRITICAL,True,True,True,success,True,simulated_trace
real-aave-0012,3,1,4,HIGH,Aave,True,0,10,LOW,,2,CRITICAL,12,success,2,2,178,True,1,True,CRITICAL,True,True,True,success,True,simulated_trace
real-aave-0013,2,1,7,MEDIUM,Aave,True,1,9,LOW,,9,LOW,13,success,1,6,397,True,2,True,MEDIUM,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0014,2,1,7,MEDIUM,Aave,True,1,9,LOW,,9,LOW,14,success,1,6,407,True,2,True,MEDIUM,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0015,32,1,2,CRITICAL,Aave,True,8,6,MEDIUM,,2,CRITICAL,15,success,6,2,355,True,15,True,CRITICAL,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0016,19,1,8,LOW,Aave,True,5,6,MEDIUM,,4,HIGH,16,success,6,4,310,True,10,True,HIGH,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0017,2,1,7,MEDIUM,Aave,True,1,8,LOW,,9,LOW,17,success,1,6,396,True,2,True,MEDIUM,True,True,True,reverted_with_trace,True,simulated_trace
real-aave-0018,4,1,7,MEDIUM,Aave,True,2,8,LOW,,9,LOW,18,success,1,6,400,True,2,True,MEDIUM,True,True,True,reverted_with_trace,True,simulated_trace
